
### 场景 THR0（种子数 1；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
| PIv b=0.5 | 0.0978 | 0.0998 | 0.0437 | 0.1653 | 5 | 3 | 1.431 | 0 | 0 | 0.0 | 0.099 | 37.9/48.8 |
| PIv b=1 | 0.0978 | 0.0995 | 0.0563 | 0.1469 | 5 | 3 | 1.415 | 0 | 0 | 0.0 | 0.100 | 67.8/64.8 |
| PIp b=0.5 | 0.0978 | 0.0998 | 0.0437 | 0.1653 | 5 | 3 | 1.431 | 0 | 0 | 0.0 | 0.099 | 37.9/48.8 |
| PIp b=1 | 0.0978 | 0.0995 | 0.0563 | 0.1469 | 5 | 3 | 1.415 | 0 | 0 | 0.0 | 0.100 | 67.8/64.8 |
| WB-PI kP=200 | 0.0979 | 0.0986 | 0.0830 | 0.1177 | 5 | 3 | 1.418 | 9 | 247 | 0.0 | 0.103 | 0.0/0.0 |
| WB-PI中点 kP=200 | 0.0979 | 0.0986 | 0.0830 | 0.1174 | 5 | 3 | 1.418 | 0 | 215 | 0.0 | 0.103 | 0.0/0.0 |
| PIpCI b=0.5 | 0.0978 | 0.0998 | 0.0437 | 0.1653 | 5 | 3 | 1.431 | 0 | 0 | 0.0 | 0.099 | 37.9/48.8 |
| ANCH | 0.0978 | 0.0998 | 0.0469 | 0.1628 | 5 | 3 | 1.418 | 0 | 0 | 0.0 | 0.100 | 43.6/57.1 |
| TTS | 0.0978 | 0.1005 | 0.0403 | 0.1826 | 5 | 3 | 1.452 | 1193 | 0 | 7.9 | 0.101 | 52.1/66.3 |
| BLEND c=0.25 | 0.0978 | 0.1002 | 0.0344 | 0.1917 | 6 | 3 | 1.468 | 0 | 0 | 0.0 | 0.098 | 73.7/75.1 |
| M0A cu=.5 | 0.0926 | 0.0963 | 0.0247 | 0.2142 | 6 | 3 | 1.470 | 1260 | 0 | 50.4 | 0.096 | 91.8/83.2 |
| PIpA b=.5 | 0.0933 | 0.0960 | 0.0389 | 0.1646 | 5 | 3 | 1.387 | 0 | 0 | 0.0 | 0.096 | 37.9/111.0 |

### 场景 UNRL（种子数 5；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| M0(现方案) | 0.1990 | 0.1930 | 0.0535 | 0.3288 | 9 | 4 | 0.520 | 54959 | 0 | 10452.2 | 0.242 | 88.4 |
| EVT(消融) | 0.1993 | 0.1934 | 0.0778 | 0.3288 | 9 | 4 | 0.496 | 15024 | 0 | 10499.0 | 0.242 | 31.6 |
| PIv b=0.5 | 0.1997 | 0.1938 | 0.0747 | 0.3288 | 9 | 4 | 0.522 | 33716 | 0 | 10543.1 | 0.242 | 60.6 |
| PIv b=1 | 0.2020 | 0.1962 | 0.0903 | 0.3288 | 9 | 4 | 0.588 | 23180 | 0 | 10780.3 | 0.243 | 91.5 |
| PIp b=0.5 | 0.1989 | 0.1929 | 0.0569 | 0.3288 | 9 | 4 | 0.505 | 54959 | 54959 | 10452.2 | 0.242 | 43.1 |
| PIp b=1 | 0.1989 | 0.1929 | 0.0604 | 0.3288 | 9 | 4 | 0.512 | 54959 | 54959 | 10452.2 | 0.242 | 38.4 |
| WB-PI kP=200 | 0.1989 | 0.1929 | 0.0788 | 0.3288 | 9 | 4 | 0.599 | 54959 | 57136 | 10452.2 | 0.244 | 30.1 |
| WB-PI中点 kP=200 | 0.1988 | 0.1929 | 0.0788 | 0.3288 | 9 | 4 | 0.599 | 54959 | 57156 | 10452.2 | 0.244 | 30.1 |
| PIpCI b=0.5 | 0.1989 | 0.1929 | 0.0569 | 0.3288 | 9 | 4 | 0.505 | 54959 | 54959 | 10452.2 | 0.242 | 43.1 |
| ANCH | 0.1990 | 0.1930 | 0.0601 | 0.3288 | 9 | 4 | 0.580 | 54968 | 0 | 30102387.6 | 0.243 | 41.6 |
| TTS | 0.1992 | 0.1933 | 0.0760 | 0.3288 | 9 | 4 | 0.463 | 55683 | 27532 | 10494.8 | 0.243 | 70.6 |
| BLEND c=0.25 | 0.1988 | 0.1929 | 0.0538 | 0.3288 | 9 | 4 | 0.508 | 54217 | 0 | 10441.5 | 0.242 | 78.6 |
| M0A cu=.5 | 0.1976 | 0.1916 | 0.0528 | 0.3288 | 9 | 4 | 0.482 | 54959 | 0 | 10452.2 | 0.242 | 70.1 |
| PIpA b=.5 | 0.1980 | 0.1920 | 0.0569 | 0.3288 | 9 | 4 | 0.482 | 54959 | 54959 | 10452.2 | 0.242 | 49.5 |

### 场景 UNRH（种子数 5；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
